"Classe","Nome Corso","Ateneo","Anno accademico","Descrizione indicatore","ID Indicatore","Numeratore","Denominatore"
"L-8 - Ingegneria dell'informazione","0150206200800020 - Ingegneria Fisica","Politecnico di Milano","2023","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","58.000","92.000"
"L-8 - Ingegneria dell'informazione","0150206200800020 - Ingegneria Fisica","Politecnico di Milano","2024","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","72.000","113.000"
"L-8 - Ingegneria dell'informazione","0150206200800020 - Ingegneria Fisica","Politecnico di Milano","2025","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","67.000","94.000"
"L-8 - Ingegneria dell'informazione","0150206200800021 - Ingegneria Matematica","Politecnico di Milano","2020","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","58.000","98.000"
"L-8 - Ingegneria dell'informazione","0150206200800021 - Ingegneria Matematica","Politecnico di Milano","2021","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","73.000","108.000"
"L-8 - Ingegneria dell'informazione","0150206200800021 - Ingegneria Matematica","Politecnico di Milano","2022","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","163.000","207.000"
"L-8 - Ingegneria dell'informazione","0150206200800021 - Ingegneria Matematica","Politecnico di Milano","2023","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","131.000","193.000"
"L-8 - Ingegneria dell'informazione","0150206200800021 - Ingegneria Matematica","Politecnico di Milano","2024","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","185.000","269.000"
"L-8 - Ingegneria dell'informazione","0150206200800021 - Ingegneria Matematica","Politecnico di Milano","2025","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","202.000","276.000"
"L-8 - Ingegneria dell'informazione","0160106200800002 - Ingegneria Informatica","Università di Bergamo","2020","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","33.000","58.000"
"L-8 - Ingegneria dell'informazione","0160106200800002 - Ingegneria Informatica","Università di Bergamo","2021","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","30.000","66.000"
"L-8 - Ingegneria dell'informazione","0160106200800002 - Ingegneria Informatica","Università di Bergamo","2022","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","38.000","70.000"
"L-8 - Ingegneria dell'informazione","0160106200800002 - Ingegneria Informatica","Università di Bergamo","2023","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","26.000","52.000"
"L-8 - Ingegneria dell'informazione","0160106200800002 - Ingegneria Informatica","Università di Bergamo","2024","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","18.000","52.000"
"L-8 - Ingegneria dell'informazione","0160106200800002 - Ingegneria Informatica","Università di Bergamo","2025","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","41.000","82.000"
"L-8 - Ingegneria dell'informazione","0170106200800004 - Ingegneria informatica","Università di Brescia","2020","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","40.000","74.000"
"L-8 - Ingegneria dell'informazione","0170106200800004 - Ingegneria informatica","Università di Brescia","2021","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","iC02","24.000","65.000"
