"Ateneo","Anno accademico","Classe","Nome Corso","ID Indicatore","Descrizione indicatore","Numeratore"
"Politecnica delle Marche","2023","L-8 - Ingegneria dell'informazione","0420106200800014 - INGEGNERIA ELETTRONICA E DELLE TECNOLOGIE DIGITALI ","iC02","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","12.000"
"Politecnica delle Marche","2023","L-8 - Ingegneria dell'informazione","0420106200800014 - INGEGNERIA ELETTRONICA E DELLE TECNOLOGIE DIGITALI ","iC14","Percentuale di studenti che proseguono nel II anno nello stesso corso di studio**","44.000"
"Politecnica delle Marche","2023","L-8 - Ingegneria dell'informazione","0420106200800014 - INGEGNERIA ELETTRONICA E DELLE TECNOLOGIE DIGITALI ","iC16BIS","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","13.000"
"Politecnica delle Marche","2023","L-8 - Ingegneria dell'informazione","0420106200800014 - INGEGNERIA ELETTRONICA E DELLE TECNOLOGIE DIGITALI ","iC21","Percentuale di studenti che proseguono la carriera nel sistema universitario al II anno**","51.000"
"Politecnica delle Marche","2023","L-8 - Ingegneria dell'informazione","0420106200800015 - INGEGNERIA DELL’INFORMAZIONE PER VIDEOGAME E REALTÀ VIRTUALE","iC00a","Avvii di carriera al primo anno* (L; LMCU; LM)","112.000"
"Politecnica delle Marche","2023","L-8 - Ingegneria dell'informazione","0420106200800015 - INGEGNERIA DELL’INFORMAZIONE PER VIDEOGAME E REALTÀ VIRTUALE","iC00b","Immatricolati puri ** (L; LMCU)","92.000"
"Politecnica delle Marche","2023","L-8 - Ingegneria dell'informazione","0420106200800015 - INGEGNERIA DELL’INFORMAZIONE PER VIDEOGAME E REALTÀ VIRTUALE","iC14","Percentuale di studenti che proseguono nel II anno nello stesso corso di studio**","60.000"
"Politecnica delle Marche","2023","L-8 - Ingegneria dell'informazione","0420106200800015 - INGEGNERIA DELL’INFORMAZIONE PER VIDEOGAME E REALTÀ VIRTUALE","iC16BIS","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","30.000"
"Politecnica delle Marche","2023","L-8 - Ingegneria dell'informazione","0420106200800015 - INGEGNERIA DELL’INFORMAZIONE PER VIDEOGAME E REALTÀ VIRTUALE","iC21","Percentuale di studenti che proseguono la carriera nel sistema universitario al II anno**","68.000"
"Politecnica delle Marche","2023","L-8 - Ingegneria dell'informazione","0420106200900019 - Ingegneria Gestionale","iC00a","Avvii di carriera al primo anno* (L; LMCU; LM)","27.000"
"Politecnica delle Marche","2023","L-8 - Ingegneria dell'informazione","0420106200900019 - Ingegneria Gestionale","iC00b","Immatricolati puri ** (L; LMCU)","23.000"
"Politecnica delle Marche","2023","L-8 - Ingegneria dell'informazione","0420106200900019 - Ingegneria Gestionale","iC02","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","11.000"
"Politecnica delle Marche","2023","L-8 - Ingegneria dell'informazione","0420106200900019 - Ingegneria Gestionale","iC14","Percentuale di studenti che proseguono nel II anno nello stesso corso di studio**","17.000"
"Politecnica delle Marche","2023","L-8 - Ingegneria dell'informazione","0420106200900019 - Ingegneria Gestionale","iC16BIS","Percentuale di studenti che proseguono al II anno nello stesso corso di studio avendo acquisito almeno 2/3 dei CFU previsti al I anno **","9.000"
"Politecnica delle Marche","2023","L-8 - Ingegneria dell'informazione","0420106200900019 - Ingegneria Gestionale","iC21","Percentuale di studenti che proseguono la carriera nel sistema universitario al II anno**","18.000"
"Politecnica delle Marche","2024","L-8 - Ingegneria dell'informazione","0420106200800006 - Ingegneria Biomedica","iC00a","Avvii di carriera al primo anno* (L; LMCU; LM)","182.000"
"Politecnica delle Marche","2024","L-8 - Ingegneria dell'informazione","0420106200800006 - Ingegneria Biomedica","iC00b","Immatricolati puri ** (L; LMCU)","168.000"
"Politecnica delle Marche","2024","L-8 - Ingegneria dell'informazione","0420106200800006 - Ingegneria Biomedica","iC02","Percentuale di laureati (L; LM; LMCU) entro la durata normale del corso*","55.000"
"Politecnica delle Marche","2024","L-8 - Ingegneria dell'informazione","0420106200800006 - Ingegneria Biomedica","iC14","Percentuale di studenti che proseguono nel II anno nello stesso corso di studio**","142.000"
